127.0.0.1, 2011-01-21 21:55:27, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.005949
127.0.0.1, 2011-01-21 21:55:27, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.005272
127.0.0.1, 2011-01-21 21:55:27, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.014353
127.0.0.1, 2011-01-21 21:55:27, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.003437
127.0.0.1, 2011-01-21 21:55:27, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.002352
127.0.0.1, 2011-01-21 21:55:27, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.014878
127.0.0.1, 2011-01-21 21:55:27, GET, /admin/static/images/header_bg.png, HTTP/1.1, 304, 0.007711
127.0.0.1, 2011-01-21 21:55:27, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 304, 0.013222
127.0.0.1, 2011-01-21 21:55:27, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.013217
127.0.0.1, 2011-01-21 21:55:27, GET, /admin/static/images/small_button.png, HTTP/1.1, 304, 0.011646
127.0.0.1, 2011-01-21 21:55:27, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.021747
127.0.0.1, 2011-01-21 21:55:27, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 304, 0.002492
127.0.0.1, 2011-01-21 21:55:27, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.010528
127.0.0.1, 2011-01-21 21:55:29, GET, /favicon.ico, HTTP/1.1, 400, 0.003675
127.0.0.1, 2011-01-21 21:55:29, GET, /favicon.ico, HTTP/1.1, 400, 0.002824
127.0.0.1, 2011-01-21 21:55:31, GET, /admin/default/site, HTTP/1.1, 200, 0.141582
127.0.0.1, 2011-01-21 21:55:33, GET, /admin/default/twitter, HTTP/1.1, 200, 1.628983
127.0.0.1, 2011-01-21 21:55:33, GET, /favicon.ico, HTTP/1.1, 400, 0.004339
127.0.0.1, 2011-01-21 21:55:34, GET, /admin/default/uninstall/gift_money, HTTP/1.1, 200, 0.101935
